INFO 2025-06-19 11:19:40,790 autoreload 15540 26716 Watching for file changes with StatReloader
INFO 2025-06-19 19:31:36,113 autoreload 29452 13760 Watching for file changes with StatReloader
WARNING 2025-06-19 19:32:58,053 log 29452 19816 Unauthorized: /detection/fetch/
WARNING 2025-06-19 19:32:58,055 basehttp 29452 19816 "POST /detection/fetch/ HTTP/1.1" 401 27
WARNING 2025-06-19 19:33:02,255 log 29452 22616 Unauthorized: /user_management/get_user_info/
WARNING 2025-06-19 19:33:02,256 basehttp 29452 22616 "GET /user_management/get_user_info/ HTTP/1.1" 401 27
WARNING 2025-06-19 19:33:03,032 log 29452 22616 Unauthorized: /user_management/get_user_info/
WARNING 2025-06-19 19:33:03,034 basehttp 29452 22616 "GET /user_management/get_user_info/ HTTP/1.1" 401 59
INFO 2025-06-19 19:33:16,792 basehttp 29452 22616 "POST /user_management/test HTTP/1.1" 201 408
INFO 2025-06-19 19:33:23,127 basehttp 29452 22616 "POST /user_management/google_sign_in HTTP/1.1" 200 393
INFO 2025-06-19 19:33:23,340 basehttp 29452 22616 "GET /user_management/check_is_google_user HTTP/1.1" 200 52
INFO 2025-06-19 19:33:24,568 basehttp 29452 19816 "POST /detection/fetch/ HTTP/1.1" 200 59
INFO 2025-06-19 19:33:24,837 basehttp 29452 19816 "GET /detection/deleted/ HTTP/1.1" 200 18
INFO 2025-06-19 19:33:24,895 views 29452 21300 === Starting batch upload ===
INFO 2025-06-19 19:33:24,896 views 29452 21300 MEDIA_ROOT: F:\pest_detection_app_backend\pest_detection_backend\media
INFO 2025-06-19 19:33:24,896 views 29452 21300 MEDIA_URL: /media/
INFO 2025-06-19 19:33:24,896 views 29452 21300 Media root exists: True
INFO 2025-06-19 19:33:24,898 views 29452 21300 Images dir exists: True
INFO 2025-06-19 19:33:24,898 views 29452 21300 Images dir writable: True
INFO 2025-06-19 19:33:24,898 views 29452 21300 Number of detections: 0
INFO 2025-06-19 19:33:24,898 views 29452 21300 Files in request: []
INFO 2025-06-19 19:33:24,899 views 29452 21300 Serializer is valid, saving...
INFO 2025-06-19 19:33:24,900 basehttp 29452 21300 "POST /detection/upload/ HTTP/1.1" 201 2
INFO 2025-06-19 19:33:25,056 basehttp 29452 21300 "POST /detection/sync/notes/ HTTP/1.1" 200 17
INFO 2025-06-19 19:33:35,077 basehttp 29452 22616 "GET /user_management/get_user_info/ HTTP/1.1" 200 298
INFO 2025-06-19 19:33:39,379 basehttp 29452 22616 "GET /user_management/get_user_info/ HTTP/1.1" 200 298
INFO 2025-06-19 19:33:39,390 basehttp 29452 21300 "POST /detection/fetch/ HTTP/1.1" 200 97
INFO 2025-06-19 19:33:39,623 basehttp 29452 21300 "GET /detection/deleted/ HTTP/1.1" 200 18
INFO 2025-06-19 19:33:39,708 views 29452 19816 === Starting batch upload ===
INFO 2025-06-19 19:33:39,709 views 29452 19816 MEDIA_ROOT: F:\pest_detection_app_backend\pest_detection_backend\media
INFO 2025-06-19 19:33:39,709 views 29452 19816 MEDIA_URL: /media/
INFO 2025-06-19 19:33:39,709 views 29452 19816 Media root exists: True
INFO 2025-06-19 19:33:39,709 views 29452 19816 Images dir exists: True
INFO 2025-06-19 19:33:39,709 views 29452 19816 Images dir writable: True
